val_ntxent_loss,epoch,step,trn_ntxent_loss
5.354184627532959,0,544,
,0,544,2.8480656147003174
6.177784442901611,1,1089,
,1,1089,2.557248592376709
6.020199298858643,2,1634,
,2,1634,2.389207601547241
6.490479946136475,3,2179,
,3,2179,2.3451759815216064
7.213208198547363,4,2724,
,4,2724,2.271528482437134
6.810076713562012,5,3269,
,5,3269,2.259702444076538
6.8163676261901855,6,3814,
,6,3814,2.215824604034424
6.417668342590332,7,4359,
,7,4359,2.1493377685546875
6.436330318450928,8,4904,
,8,4904,2.1470773220062256
6.175108432769775,9,5449,
,9,5449,2.074944019317627
6.082710266113281,10,5994,
,10,5994,2.0081844329833984
6.827243804931641,11,6539,
,11,6539,1.9598133563995361
6.477344512939453,12,7084,
,12,7084,1.9570989608764648
5.8911027908325195,13,7629,
,13,7629,1.5517475605010986
5.448032855987549,14,8174,
,14,8174,1.234800934791565
5.674005031585693,15,8719,
,15,8719,1.1440904140472412
5.067073345184326,16,9264,
,16,9264,1.1586331129074097
6.59343147277832,17,9809,
,17,9809,1.027369499206543
6.355289936065674,18,10354,
,18,10354,1.023051381111145
6.099708557128906,19,10899,
,19,10899,0.9744752049446106
5.488082408905029,20,11444,
,20,11444,0.7802767157554626
5.227893829345703,21,11989,
,21,11989,0.6658484935760498
5.628378391265869,22,12534,
,22,12534,0.7495228052139282
5.282554626464844,23,13079,
,23,13079,0.6916697025299072
4.843169689178467,24,13624,
,24,13624,0.6624302864074707
4.844935894012451,25,14169,
,25,14169,0.5980615615844727
4.9946699142456055,26,14714,
,26,14714,0.585871160030365
5.170878887176514,27,15259,
,27,15259,0.5646358132362366
5.489714622497559,28,15804,
,28,15804,0.6225898265838623
5.757683277130127,29,16349,
,29,16349,0.639119029045105
4.892781734466553,30,16894,
,30,16894,0.5855878591537476
4.958749294281006,31,17439,
,31,17439,0.5326902866363525
5.430764198303223,32,17984,
,32,17984,0.5425564646720886
5.069118499755859,33,18529,
,33,18529,0.6133127212524414
4.886436939239502,34,19074,
,34,19074,0.5947320461273193
5.476956367492676,35,19619,
,35,19619,0.5113228559494019
5.381364822387695,36,20164,
,36,20164,0.504410982131958
4.542260646820068,37,20709,
,37,20709,0.47331127524375916
4.628214359283447,38,21254,
,38,21254,0.45242077112197876
5.457685470581055,39,21799,
,39,21799,0.5273069143295288
5.978250980377197,40,22344,
,40,22344,0.4910004436969757
4.91023588180542,41,22889,
,41,22889,0.47826018929481506
5.031789302825928,42,23434,
,42,23434,0.5012003779411316
5.280675411224365,43,23979,
,43,23979,0.47469404339790344
4.308113098144531,44,24524,
,44,24524,0.4913575351238251
4.884735584259033,45,25069,
,45,25069,0.49169251322746277
5.09353494644165,46,25614,
,46,25614,0.4747995436191559
5.339458465576172,47,26159,
,47,26159,0.4887513816356659
5.0247344970703125,48,26704,
,48,26704,0.4517669677734375
4.846269130706787,49,27249,
,49,27249,0.4731006920337677
5.617910385131836,50,27794,
,50,27794,0.4605329632759094
5.059596061706543,51,28339,
,51,28339,0.4719597101211548
4.754553318023682,52,28884,
,52,28884,0.4176773726940155
5.2565789222717285,53,29429,
,53,29429,0.4008931517601013
4.68107795715332,54,29974,
,54,29974,0.3985140919685364
5.085188865661621,55,30519,
,55,30519,0.35079649090766907
4.403733730316162,56,31064,
,56,31064,0.32986193895339966
4.574023246765137,57,31609,
,57,31609,0.31104224920272827
4.8670268058776855,58,32154,
,58,32154,0.30658310651779175
4.693842887878418,59,32699,
,59,32699,0.3247454762458801
4.502443313598633,60,33244,
,60,33244,0.31863489747047424
3.886497735977173,61,33789,
,61,33789,0.3443109691143036
4.781656265258789,62,34334,
,62,34334,0.27339065074920654
4.113553524017334,63,34879,
,63,34879,0.2972560524940491
5.173895359039307,64,35424,
,64,35424,0.2987160384654999
4.729064464569092,65,35969,
,65,35969,0.2834823727607727
5.243648052215576,66,36514,
,66,36514,0.2876771092414856
4.3639421463012695,67,37059,
,67,37059,0.30507132411003113
4.577418327331543,68,37604,
,68,37604,0.2526358664035797
4.5810227394104,69,38149,
,69,38149,0.2847340703010559
3.9801018238067627,70,38694,
,70,38694,0.28515636920928955
4.612963676452637,71,39239,
,71,39239,0.3052884042263031
4.201509475708008,72,39784,
,72,39784,0.2798520624637604
4.5995588302612305,73,40329,
,73,40329,0.28164616227149963
4.486788272857666,74,40874,
,74,40874,0.3216031789779663
4.70906925201416,75,41419,
,75,41419,0.2631584107875824
4.7009758949279785,76,41964,
,76,41964,0.2420978546142578
4.624707221984863,77,42509,
,77,42509,0.3093525469303131
4.601621627807617,78,43054,
,78,43054,0.2885730564594269
4.455349922180176,79,43599,
,79,43599,0.2433989942073822
4.359248161315918,80,44144,
,80,44144,0.2835150361061096
4.0595173835754395,81,44689,
,81,44689,0.24596235156059265
3.5464627742767334,82,45234,
,82,45234,0.2406628578901291
4.969956398010254,83,45779,
,83,45779,0.22742177546024323
4.532408237457275,84,46324,
,84,46324,0.23126736283302307
4.606510639190674,85,46869,
,85,46869,0.23151065409183502
4.406249523162842,86,47414,
,86,47414,0.18294359743595123
5.0874762535095215,87,47959,
,87,47959,0.20220337808132172
4.166947364807129,88,48504,
,88,48504,0.19018985331058502
4.4324049949646,89,49049,
,89,49049,0.20466700196266174
4.605876445770264,90,49594,
,90,49594,0.200033038854599
3.6577038764953613,91,50139,
,91,50139,0.18832819163799286
4.18489933013916,92,50684,
,92,50684,0.18140527606010437
4.750189304351807,93,51229,
,93,51229,0.20690515637397766
4.438871383666992,94,51774,
,94,51774,0.1756284385919571
4.527711391448975,95,52319,
,95,52319,0.2009975016117096
4.371128559112549,96,52864,
,96,52864,0.17845426499843597
4.2658185958862305,97,53409,
,97,53409,0.19201670587062836
4.788699150085449,98,53954,
,98,53954,0.17259447276592255
4.096452713012695,99,54499,
,99,54499,0.18240483105182648
4.548766136169434,100,55044,
,100,55044,0.1870044618844986
3.5254178047180176,101,55589,
,101,55589,0.187564417719841
4.406744480133057,102,56134,
,102,56134,0.16927345097064972
4.002453327178955,103,56679,
,103,56679,0.19936715066432953
3.8292996883392334,104,57224,
,104,57224,0.17771367728710175
4.328168869018555,105,57769,
,105,57769,0.1981903463602066
3.9595677852630615,106,58314,
,106,58314,0.17364564538002014
4.1858720779418945,107,58859,
,107,58859,0.18930701911449432
4.623942852020264,108,59404,
,108,59404,0.18212446570396423
4.1828765869140625,109,59949,
,109,59949,0.1582142412662506
4.284099102020264,110,60494,
,110,60494,0.18234783411026
4.019459247589111,111,61039,
,111,61039,0.18848632276058197
4.538201808929443,112,61584,
,112,61584,0.1936502754688263
3.77590274810791,113,62129,
,113,62129,0.14699915051460266
4.5191216468811035,114,62674,
,114,62674,0.15281015634536743
4.5825090408325195,115,63219,
,115,63219,0.16048158705234528
3.7533013820648193,116,63764,
,116,63764,0.1534530222415924
3.9627275466918945,117,64309,
,117,64309,0.19270598888397217
3.836913585662842,118,64854,
,118,64854,0.13468995690345764
4.027826309204102,119,65399,
,119,65399,0.17552591860294342
4.224649906158447,120,65944,
,120,65944,0.15565289556980133
4.272314548492432,121,66489,
,121,66489,0.142695352435112
3.893620729446411,122,67034,
,122,67034,0.16315264999866486
4.6305694580078125,123,67579,
,123,67579,0.1403694450855255
4.9051713943481445,124,68124,
,124,68124,0.144569993019104
3.798109531402588,125,68669,
,125,68669,0.13205377757549286
3.9841525554656982,126,69214,
,126,69214,0.1365574300289154
3.7677528858184814,127,69759,
,127,69759,0.13734561204910278
4.275071620941162,128,70304,
,128,70304,0.1353490650653839
3.7591729164123535,129,70849,
,129,70849,0.14325712621212006
3.8603038787841797,130,71394,
,130,71394,0.14910344779491425
3.9208006858825684,131,71939,
,131,71939,0.15546207129955292
3.996306896209717,132,72484,
,132,72484,0.1337229609489441
4.161648273468018,133,73029,
,133,73029,0.13041538000106812
3.960646152496338,134,73574,
,134,73574,0.12245924770832062
4.23093318939209,135,74119,
,135,74119,0.10980293154716492
4.070432186126709,136,74664,
,136,74664,0.134552463889122
3.4800729751586914,137,75209,
,137,75209,0.12686651945114136
4.07383394241333,138,75754,
,138,75754,0.12386162579059601
3.6140263080596924,139,76299,
,139,76299,0.11920911073684692
4.3000102043151855,140,76844,
,140,76844,0.14474861323833466
3.6023941040039062,141,77389,
,141,77389,0.1504921019077301
4.120722770690918,142,77934,
,142,77934,0.11732449382543564
3.4751017093658447,143,78479,
,143,78479,0.10493013262748718
4.130748748779297,144,79024,
,144,79024,0.13907867670059204
3.4063456058502197,145,79569,
,145,79569,0.1545848399400711
3.7493274211883545,146,80114,
,146,80114,0.1158214807510376
3.777578115463257,147,80659,
,147,80659,0.12757422029972076
3.3701894283294678,148,81204,
,148,81204,0.1218762993812561
4.036753177642822,149,81749,
,149,81749,0.13179174065589905
3.3328208923339844,150,82294,
,150,82294,0.10782354325056076
4.076324462890625,151,82839,
,151,82839,0.12393905222415924
3.9611079692840576,152,83384,
,152,83384,0.13107679784297943
4.528306007385254,153,83929,
,153,83929,0.14094644784927368
